Source Document,Target Document,Reference Type,Source Text,Target Section,Confidence,Context
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.500,"র বিধান প্রযোজ্য হইবে। ২ 'করবর্ষ' অর্থ ১ জুলাই হইত"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত স্ল্যাব অনুযায়ী প্রয়োগ করিতে হইবে। ১ করযো"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ১ম অংশে বর্ণিত বিধান প্রযোজ্য হইবে এবং বিশেষ ক্ষ"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বিস্তারিতভাবে বর্ণিত এবং পরিপত্র নং ১০/"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.500,"র ২য় অংশে নির্ধারিত এবং সাধারণ আদেশ নং ১৫/২০২৪ অন"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.500,"বর্ণিত এবং পরিপত্র নং ১৩/২০২৪ এ আপিল সংক্রান্ত বিস"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.500,"র ১ম অংশে নির্ধারিত। বিশেষ ক্ষেত্রে সাধারণ আদেশ নং"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.500,"বর্ণিত বিস্তারিত বিধানের সাথে সঙ্গতিপূর্ণ। ৭ আয়কর"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র ৩য় অংশে বর্ণিত বিশেষ বিধান প্রযোজ্য হইবে। ৮ আয়"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.500,"র ২য় অংশে এ সংক্রান্ত বিস্তারিত বিধান রহিয়াছে। ২"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র অধীন আমদানি শুল্কের হার সংশোধন করা হইল এবং এসআরও"
02_finance_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.500,"র সাথে সামঞ্জস্য রাখিয়া নির্ধারিত। ১ যন্ত্রপাতি আ"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"বর্ণিত স্ল্যাব অনুযায়ী কর প্রযোজ্য। ২ মহিলা করদাত"
03_nbr_circular_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.500,"উল্লিখিত কর স্ল্যাব অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-"
