Source Document,Target Document,Reference Type,Source Text,Target Section,Confidence,Act Name,Year,Section,Subsection,Rule Number,SRO Number,Circular Number,Context Before,Context After
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"ধিত যেকোনো কোম্পানি এবং এর আয় নির্ধারণে এই আইনের","র বিধান প্রযোজ্য হইবে। ২ 'করবর্ষ' অর্থ ১ জুলাই হইত"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে ",schedule_1,0.600,,,,,,,,"ল্লিখিত বিধান অনুসারে নির্ধারিত হইবে এবং এই আইনের","বর্ণিত স্ল্যাব অনুযায়ী প্রয়োগ করিতে হইবে। ১ করযো"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"া অনুসরণ করিতে হইবে। ২ কর অবকাশের বিষয়ে এই আইনের","র ১ম অংশে বর্ণিত বিধান প্রযোজ্য হইবে এবং বিশেষ ক্ষ"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"জ্য হইবে। ৩ উৎসে কর কর্তনের হার ও পদ্ধতি এই আইনের","র ৩য় অংশে বিস্তারিতভাবে বর্ণিত এবং পরিপত্র নং ১০/"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"দ্বিতীয় তফসিলে",schedule_2,0.600,,,,,,,,"তিগত করদাতার ক্ষেত্রে সর্বনিম্ন করের হার এই আইনের","র ২য় অংশে নির্ধারিত এবং সাধারণ আদেশ নং ১৫/২০২৪ অন"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে ",schedule_3,0.600,,,,,,,,"নিকট করা যাইবে। আপিলের পদ্ধতি ও সময়সীমা এই আইনের","বর্ণিত এবং পরিপত্র নং ১৩/২০২৪ এ আপিল সংক্রান্ত বিস"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"াখিলের সময়সীমা ৬০ (ষাট) দিন এবং আপিল ফি এই আইনের","র ১ম অংশে নির্ধারিত। বিশেষ ক্ষেত্রে সাধারণ আদেশ নং"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের তৃতীয় তফসিলে",schedule_3,0.600,,,,,,,,"ধীন নিবন্ধিত যেকোনো কোম্পানি এবং এর আয় নির্ধারণে","র বিধান প্রযোজ্য হইবে। ২ 'করবর্ষ' অর্থ ১ জুলাই হইত"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"া (১) এ উল্লিখিত বিধান অনুসারে নির্ধারিত হইবে এবং","বর্ণিত স্ল্যাব অনুযায়ী প্রয়োগ করিতে হইবে। ১ করয"
01_income_tax_act_simulation.json,05_tax_schedules_simulation.json,schedule_reference,"এই আইনের প্রথম তফসিলে",schedule_1,0.600,,,,,,,,"নির্দেশনা অনুসরণ করিতে হইবে। ২ কর অবকাশের বিষয়ে","র ১ম অংশে বর্ণিত বিধান প্রযোজ্য হইবে এবং বিশেষ ক্ষ"
