Source Document,Target Document,Reference Type,Source Text,Target Section,Confidence,Act Name,Year,Section,Subsection,Rule Number,SRO Number,Circular Number,Context Before,Context After
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ (২০২৪ সনের ০৫ নং আইন) এর ৬ম ধারা",section_৬_subsection_০৫,1.000,অর্থ আইন,২০২৪,৬,০৫,,,,"র্তী বছরের ৩০ জুন পর্যন্ত সময়কাল যার হার ও বিধান","অনুযায়ী নির্ধারিত হইবে। ৩ 'করদাতা' অর্থ যেকোনো ব"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-ধারা (১)",section_৬_subsection_১,1.000,অর্থ আইন,২০২৪,৬,১,,,,"়ের উপর আয়কর ধার্য ও প্রদেয় হইবে। উক্ত করের হার","এ উল্লিখিত বিধান অনুসারে নির্ধারিত হইবে এবং এই আই"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৬ম ধারায়",section_৬_subsection_২০২৪,1.000,অর্থ আইন,২০২৪,৬,২০২৪,,,,"িতে হইবে। ১ করযোগ্য আয়ের উপর কর ধার্যের ক্ষেত্রে","উল্লিখিত হার প্রযোজ্য হইবে এবং জাতীয় রাজস্ব বোর্"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৬ম ধারার উপ-ধারা (২)",section_৬_subsection_২,1.000,অর্থ আইন,২০২৪,৬,২,,,,"়ী নির্ধারিত হইবে। ২০২৪-২৫ অর্থবছরের জন্য এই সীমা","অনুযায়ী নির্ধারিত এবং জাতীয় রাজস্ব বোর্ডের সাধা"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৬ম ধারায়",section_৬_subsection_২০২৪,1.000,অর্থ আইন,২০২৪,৬,২০২৪,,,,"বং মহিলা করদাতার ক্ষেত্রে সাড়ে তিন লক্ষ টাকা, যা","স্পষ্টভাবে উল্লেখ রহিয়াছে। ২ প্রতিবন্ধী ব্যক্তিদ"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৮ম ধারায়",section_৮_subsection_২০২৪,1.000,অর্থ আইন,২০২৪,৮,২০২৪,,,,"র্বনিম্ন কর প্রদান করিতে হইবে। সর্বনিম্ন করের হার","নির্ধারিত এবং পরিপত্র নং ১১/২০২৪ এ এ সংক্রান্ত বি"
01_income_tax_act_simulation.json,02_finance_act_simulation.json,act_reference,"অর্থ আইন, ২০২৪ এর ৮ম ধারার উপ-ধারা (১)",section_৮_subsection_১,1.000,অর্থ আইন,২০২৪,৮,১,,,,"ানির ক্ষেত্রে সর্বনিম্ন কর ২০২৪-২৫ অর্থবছরের জন্য","অনুযায়ী নির্ধারিত এবং পরিপত্র নং ১২/২০২৪ এ কোম্প"
01_income_tax_act_simulation.json,company_act_simulation.json,act_reference,"কোম্পানি আইন, ১৯৯৪ (১৯৯৪ সনের ১৮ নং আইন) এর অধীন",general_authority,1.000,কোম্পানি আইন,১৯৯৪,,,,,,"মে ভিন্ন কোনো অর্থ প্রকাশ পায়: ১ 'কোম্পানি' অর্থ","নিবন্ধিত যেকোনো কোম্পানি এবং এর আয় নির্ধারণে এই"
01_income_tax_act_simulation.json,06_tds_rules_simulation.json,rules_reference," ২০২৪ এর বিধান অনুযায়ী কর্তনের হার ও পদ্ধতি নির্ধারিত এবং জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৯/২০২৪ এ এ সংক্রান্ত বিশেষ নির্দেশনা প্রদান করা হইয়াছে। ১ ঠিকাদারি কার্যক্রমের ক্ষেত্রে উৎসে কর কর্তন বিধিমালা, ২০২৪ এর ৩য় নিয়ম",rule_৩,0.900,,২০২৪,,,৩,,,"উৎসে কর কর্তন করিতে হইবে। উৎসে কর কর্তন বিধিমালা,","অনুযায়ী কর কর্তন করিতে হইবে এবং এসআরও নং ২৪১/২০২"
01_income_tax_act_simulation.json,06_tds_rules_simulation.json,rules_reference," অনুযায়ী কর কর্তন করিতে হইবে এবং এসআরও নং ২৪১/২০২৪ এ বর্ণিত বিশেষ ক্ষেত্রসমূহে অতিরিক্ত শর্ত প্রযোজ্য হইবে। ২ পেশাদার সেবার ক্ষেত্রে উৎসে কর কর্তন বিধিমালা, ২০২৪ এর ৪র্থ নিয়ম",rule_৪,0.900,,২০২৪,,,৪,,,"ক্ষেত্রে উৎসে কর কর্তন বিধিমালা, ২০২৪ এর ৩য় নিয়ম","প্রযোজ্য এবং উক্ত বিধিমালার ৫ম নিয়মে বর্ণিত ব্যত"
01_income_tax_act_simulation.json,04_sro_notification_simulation.json,sro_reference,"এসআরও নং ২৪১/২০২৪",sro_২৪১_২০২৪,1.000,,,,,,২৪১/২০২৪,,"০২৪ এর ৩য় নিয়ম অনুযায়ী কর কর্তন করিতে হইবে এবং","এ বর্ণিত বিশেষ ক্ষেত্রসমূহে অতিরিক্ত শর্ত প্রযোজ্"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৫/২০২৪",circular_০৫_২০২৪,0.900,,,,,,,০৫/২০২৪,"ব্যক্তি যার উপর এই আইন অনুযায়ী কর ধার্য হয় এবং","এ বর্ণিত বিশেষ বিধান সাপেক্ষে তাহার দায়বদ্ধতা নি"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৬/২০২৪",circular_০৬_২০২৪,0.900,,,,,,,০৬/২০২৪,"২০২৪ এর ৬ম ধারায় উল্লিখিত হার প্রযোজ্য হইবে এবং","এ বর্ণিত বিশেষ নির্দেশনা অনুসরণ করিতে হইবে। ২ কর"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ০৭/২০২৪",circular_০৭_২০২৪,0.900,,,,,,,০৭/২০২৪,"প্রতিবন্ধী ব্যক্তিদের ক্ষেত্রে বিশেষ করমুক্ত সীমা","এ বিস্তারিতভাবে বর্ণিত এবং উক্ত পরিপত্রে উল্লিখিত"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"জাতীয় রাজস্ব বোর্ডের পরিপত্র নং ০৯/২০২৪",circular_০৯_২০২৪,0.900,,,,,,,০৯/২০২৪,"বিধান অনুযায়ী কর্তনের হার ও পদ্ধতি নির্ধারিত এবং","এ এ সংক্রান্ত বিশেষ নির্দেশনা প্রদান করা হইয়াছে।"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ১০/২০২৪",circular_১০_২০২৪,0.900,,,,,,,১০/২০২৪,"র প্রথম তফসিলের ৩য় অংশে বিস্তারিতভাবে বর্ণিত এবং","এ এ সংক্রান্ত বাস্তবায়ন নির্দেশনা প্রদান করা হইয"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ১১/২০২৪",circular_১১_২০২৪,0.900,,,,,,,১১/২০২৪,"রের হার অর্থ আইন, ২০২৪ এর ৮ম ধারায় নির্ধারিত এবং","এ এ সংক্রান্ত বিশেষ নির্দেশনা প্রদান করা হইয়াছে।"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ১২/২০২৪",circular_১২_২০২৪,0.900,,,,,,,১২/২০২৪,"২৪ এর ৮ম ধারার উপ-ধারা (১) অনুযায়ী নির্ধারিত এবং","এ কোম্পানির ধরন অনুযায়ী বিভিন্ন হার উল্লেখ করা হ"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ১৩/২০২৪",circular_১৩_২০২৪,0.900,,,,,,,১৩/২০২৪,"্ধতি ও সময়সীমা এই আইনের তৃতীয় তফসিলে বর্ণিত এবং","এ আপিল সংক্রান্ত বিস্তারিত নির্দেশনা প্রদান করা হ"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"পরিপত্র নং ১৪/২০২৪",circular_১৪_২০২৪,0.900,,,,,,,১৪/২০২৪,"বৃদ্ধির বিধান রহিয়াছে। ২ আপিল নিষ্পত্তির পদ্ধতি","এ বিস্তারিতভাবে বর্ণিত এবং আয়কর অধ্যাদেশ, ১৯৮৪ এ"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"সাধারণ আদেশ নং ১৫/২০২৪",general_order_১৫_২০২৪,0.900,,,,,,,১৫/২০২৪,"এই আইনের দ্বিতীয় তফসিলের ২য় অংশে নির্ধারিত এবং","অনুসারে বিশেষ ক্ষেত্রে ভিন্ন হার প্রয়োগ করা যাইব"
01_income_tax_act_simulation.json,03_nbr_circular_simulation.json,circular_reference,"সাধারণ আদেশ নং ১৬/২০২৪",general_order_১৬_২০২৪,0.900,,,,,,,১৬/২০২৪,"তৃতীয় তফসিলের ১ম অংশে নির্ধারিত। বিশেষ ক্ষেত্রে","অনুসারে সময়সীমা বৃদ্ধির বিধান রহিয়াছে। ২ আপিল ন"
